x,y
25.47342472414495,7.25
26.000293040661262,4.75
25.25,4.833733848836466
24.75,7.25
24.04548813654279,7.25
24.49678411548672,4.75
22.93868752836619,7.250000000000001
22.623794862547932,4.75
21.75,4.671197625336059
21.532133908088515,7.053856155963207
20.978313043843258,4.750000000000001
20.52270958498817,6.819678210702972
20.25,4.555137319443917
18.975595401014235,6.697847529853552
18.03559385383189,6.48659558065146
18.524633528462473,4.32713538085051
17.040904156895326,6.358355416705707
17.51812158827341,4.224346387372659
16.472422914174267,4.157141245708125
16.25,6.25
15.468914957896304,6.104583135568298
14.492995019937718,5.802957647347171
14.964159134762687,3.817115375964658
13.98062670869624,3.75
13.750000000000002,5.628307474946669
13.039388091329936,5.409151698599384
13.092807328858443,3.389057672948039
12.25,3.25
11.949404630830811,5.11255078937914
11.001873190458248,4.792632265733931
11.52971368841487,3.25
10.25,4.5580077996083075
10.462102754485823,2.8519217203954765
9.462991961690856,4.25
9.75,2.75
8.96629493236336,2.5003022302487006
8.548365115848574,3.904500730913355
7.9550845343804175,2.194664404410489
7.749999999999999,3.6237294816605337
6.996925495887229,3.3144589296209386
7.090417066738439,1.952074794590474
6.25,1.75
6.25,2.9096844748889277
5.528807699626735,2.7007527096356383
5.473105382235558,1.3596540704139257
4.513535769645122,2.109488708728957
4.425563705080707,1.2880606695863386
3.4550941645199273,0.7648252730306977
3.4846230288258857,1.6550390506159003
2.75,0.33341112703965764
2.7499999999999996,1.075273793325669
2.0455121162959387,0.5322834736334818
1.0558325824240946,-0.09156397201059811
0.4270330304754437,-0.3027162905035031
-0.29598534420655226,-0.5879667115904369
-0.4183883016580497,-0.9682286141228047
-1.3038735021719592,-1.3105446199098452
-1.9924243692234422,-1.6752490375778035
-2.702678213239072,-2.125004631711241
-3.5209399599057583,-2.609788524409144
-4.2661409455637065,-3.1214990743622284
-4.779919756827327,-3.650014492037974
-5.465054787430519,-3.600100505503134
-6.25,-4.146852493914675
-5.25,-4.128585947818143
-7.001053042869842,-4.55902216416723
-5.930861849417667,-4.653455737421709
-6.609399361872226,-5.25
-7.750000000000001,-4.995394398356377
-8.500216338816648,-5.547294765600359
-7.086136806899407,-5.813981145619819
-9.25,-5.913070867327417
-7.750000000000001,-6.5753152594372235
-9.963885091723924,-6.525884853775065
-8.434366919977528,-7.020323334027158
-9.25,-7.75
-10.75,-7.008284729542083
-10.021920073114313,-8.63957603057654
-9.546131381185376,-8.315415878638605
-11.25,-7.446359664472696
-11.997413218011165,-7.901620834063941
-10.528862982233143,-9.25
-12.749999999999998,-8.513875956495218
-10.9937104171081,-9.75
-11.589266345364553,-10.465365744362018
-13.44342689376444,-9.072769210918713
-12.18231302290792,-11.16292087311113
-14.184445777261804,-9.67209651423545
-12.584779183102697,-11.684912706064232
-14.75,-10.1203034599856
-13.098194716187274,-12.440428380092381
-15.335378322302422,-10.64532405971764
-13.694210658429341,-13.132994849411027
-16.02389956679816,-11.374324371005544
-14.25,-13.880344175196702
-16.958321324454996,-11.99695836429185
-14.75,-14.528453465205766
-17.547059390191734,-12.75
-15.199214846892252,-15.373639403316227
-18.075877117057132,-13.188088235749762
-18.668544053164613,-13.76742731608022
-15.750000000000004,-16.10416915039359
-19.452589464988613,-14.548581525858475
-16.137317076957494,-16.75
-16.538393264514188,-17.538393264514188
-20.047896206302134,-15.25
-17.07814851281759,-18.51029051303895
-20.50084358301684,-15.749999999999998
-21.078500699117022,-16.35751315230579
-17.4960779738031,-19.25
